iter	Passed	Remaining
663	2095	1060
664	2098	1057
665	2102	1054
666	2104	1050
667	2107	1047
668	2114	1046
669	2117	1042
670	2119	1039
671	2125	1037
672	2127	1033
673	2130	1030
674	2132	1026
675	2134	1023
676	2144	1022
677	2147	1019
678	2149	1016
679	2155	1014
680	2157	1010
681	2161	1007
682	2163	1004
683	2165	1000
684	2172	998
685	2175	995
686	2180	993
687	2185	990
688	2187	987
689	2192	985
690	2195	981
691	2201	979
692	2203	976
693	2206	972
694	2208	969
695	2210	965
696	2212	961
697	2215	958
698	2217	954
699	2222	952
700	2225	949
701	2227	945
702	2233	943
703	2236	940
704	2238	936
705	2241	933
706	2243	929
707	2247	927
708	2249	923
709	2251	919
710	2253	915
711	2255	912
712	2257	908
713	2262	906
714	2266	903
715	2268	899
716	2270	896
717	2272	892
718	2275	889
719	2279	886
720	2281	882
721	2283	879
722	2285	875
723	2286	871
724	2288	868
725	2293	865
726	2295	862
727	2297	858
728	2299	854
729	2301	851
730	2303	847
731	2307	844
732	2309	841
733	2312	837
734	2314	834
735	2315	830
736	2317	827
737	2324	825
738	2326	821
739	2328	818
740	2329	814
741	2331	810
742	2333	807
743	2335	803
744	2338	800
745	2340	796
746	2342	793
747	2343	789
748	2345	786
749	2347	782
750	2348	778
751	2352	775
752	2353	772
753	2355	768
754	2357	765
755	2359	761
756	2360	757
757	2363	754
758	2365	751
759	2367	747
760	2369	744
761	2371	740
762	2374	737
763	2375	733
764	2380	731
765	2381	727
766	2383	723
767	2385	720
768	2386	716
769	2388	713
770	2389	709
771	2391	706
772	2394	703
773	2396	699
774	2398	696
775	2400	692
776	2401	689
777	2403	685
778	2405	682
779	2410	679
780	2412	676
781	2414	673
782	2415	669
783	2417	666
784	2419	662
785	2421	659
786	2423	655
787	2425	652
788	2426	649
789	2429	645
790	2430	642
791	2432	638
792	2437	636
793	2439	632
794	2440	629
795	2442	625
796	2443	622
797	2447	619
798	2455	617
799	2458	614
800	2465	612
801	2467	609
802	2469	605
803	2471	602
804	2472	599
805	2474	595
806	2476	592
807	2481	589
808	2482	586
809	2484	582
810	2486	579
811	2488	576
812	2490	572
813	2491	569
814	2496	566
815	2498	563
816	2499	559
817	2501	556
818	2502	553
819	2504	549
820	2506	546
821	2507	543
822	2510	540
823	2513	536
824	2515	533
825	2516	530
826	2518	526
827	2519	523
828	2521	520
829	2522	516
830	2526	513
831	2528	510
832	2530	507
833	2532	504
834	2533	500
835	2535	497
836	2536	494
837	2541	491
838	2543	488
839	2544	484
840	2546	481
841	2548	478
842	2550	474
843	2551	471
844	2553	468
845	2557	465
846	2558	462
847	2560	458
848	2562	455
849	2563	452
850	2565	449
851	2566	445
852	2576	444
853	2581	441
854	2584	438
855	2590	435
856	2593	432
857	2596	429
858	2598	426
859	2600	423
860	2605	420
861	2607	417
862	2608	414
863	2611	411
864	2613	407
865	2616	404
866	2620	401
867	2623	398
868	2625	395
869	2629	392
